Company/Brand,Sector,HeadQuarter,Year,Investor,Amount
TheCollegeFever,Brand Marketing,Bangalore,2018,Undisclosed,250000.0
Happy Cow Dairy,Agriculture,Mumbai,2018,Undisclosed,480000.0
MyLoanCare,Finance,Gurugram,2018,Undisclosed,780000.0
PayMe India,Finance,Noida,2018,Undisclosed,2000000.0
Eunimart,E-Commerce,Hyderabad,2018,Undisclosed,0.0
Hasura,Cloud Computing,Bangalore,2018,Undisclosed,1600000.0
Tripshelf,Information Technology,Kalkaji,2018,Undisclosed,192000.0
Hyperdata,Market Research,Hyderabad,2018,Undisclosed,600000.0
Freightwalla,Information Services,Mumbai,2018,Undisclosed,0.0
Microchip Payments,Mobile Payments,Bangalore,2018,Undisclosed,0.0
BizCrum Infotech Pvt. Ltd.,B2B,New Delhi,2018,Undisclosed,0.0
Emojifi,Information Technology,Bangalore,2018,Undisclosed,0.0
Flock,Apps,New Delhi,2018,Undisclosed,0.0
Freshboxx,Delivery,Hubli,2018,Undisclosed,0.0
Wide Mobility Mechatronics,Industrial Automation,Bangalore,2018,Undisclosed,0.0
Pitstop,Automobile,Bangalore,2018,Undisclosed,1200000.0
Mihuru,Finance,Mumbai,2018,Undisclosed,150000.0
Fyle,Finance,Bangalore,2018,Undisclosed,1100000.0
AppWharf,Artificial Intelligence,New Delhi,2018,Undisclosed,0.0
Antariksh Waste Ventures Pvt ltd,Information Technology,Chennai,2018,Undisclosed,6000.0
Cogoport,Aerospace,Mumbai,2018,Undisclosed,6000000.0
PaisaDukan,Finance,Mumbai,2018,Undisclosed,650000.0
Sleepy Owl Coffee,Food,New Delhi,2018,Undisclosed,420000.0
BlueJack,Automobile,New Delhi,2018,Undisclosed,768000.0
PregBuddy,Software,Bangalore,2018,Undisclosed,0.0
AgNext Technologies,Agriculture,Mohali,2018,Undisclosed,0.0
Pando,Logistics,Chennai,2018,Undisclosed,2000000.0
Mintifi,Finance,Mumbai,2018,Undisclosed,2000000.0
Carcrew,Automobile,Mumbai,2018,Undisclosed,2000000.0
NicheAI,Artificial Intelligence,Hyderabad,2018,Undisclosed,0.0
Chariot Tech,Information Technology,New Delhi,2018,Undisclosed,240000.0
Ideal Insurance Brokers,Insurance,Kolkata,2018,Undisclosed,1000000.0
Loanzen,Finance,Bangalore,2018,Undisclosed,0.0
Mojro Technologies,Information Technology,Bangalore,2018,Undisclosed,650000.0
Elemential,Blockchain,Mumbai,2018,Undisclosed,1000000.0
Loadshare,Industrial Automation,Bangalore,2018,Undisclosed,5000000.0
Yumlane,Food,Mumbai,2018,Undisclosed,4000000.0
Kriger Campus,Education,New Delhi,2018,Undisclosed,360000.0
Pipa+Bella,E-Commerce,Mumbai,2018,Undisclosed,1000000.0
Kaleidofin,Finance,Chennai,2018,Undisclosed,2800000.0
Chakr Innovation,Energy,New Delhi,2018,Undisclosed,0.0
IndigoLearn,EdTech,Hyderabad,2018,Undisclosed,150000.0
UClean,CleanTech,New Delhi,2018,Undisclosed,480000.0
Coutloot,E-Commerce,Mumbai,2018,Undisclosed,1000000.0
Letstrack,Apps,New Delhi,2018,Undisclosed,1700000.0
Pooltoo,Transportation,New Delhi,2018,Undisclosed,0.0
Finzy,Finance,Bangalore,2018,Undisclosed,1300000.0
Fitternity,Fitness,Mumbai,2018,Undisclosed,2000000.0
Keito,Artificial Intelligence,Pune,2018,Undisclosed,0.0
Tolet for Students,Hospitality,Jodhpur,2018,Undisclosed,60000.0
Chai Kings,Food,Chennai,2018,Undisclosed,240000.0
Dainik Jagran,Media and Entertainment,Kanpur,2018,Undisclosed,480000.0
Playtoome,Broadcasting,Bangalore,2018,Undisclosed,240000.0
ONGO Framework,B2B,Hyderabad,2018,Undisclosed,1000000.0
Notesgen,EdTech,New Delhi,2018,Undisclosed,150000.0
Arogya MedTech,Health,Kolkata,2018,Undisclosed,180000.0
Propshop24,E-Commerce,Mumbai,2018,Undisclosed,500000.0
myUpchar,Health,New Delhi,2018,Undisclosed,5000000.0
MissMalini Entertainment,Art,Mumbai,2018,Undisclosed,1248000.0
Rooter,Sports,New Delhi,2018,Undisclosed,540000.0
ZestMoney,Big Data,Bangalore,2018,Undisclosed,13400000.0
alphaics Corporation,Cloud Computing,Bangalore,2018,Undisclosed,0.0
MyDentistChoice,Health,Hyderabad,2018,Undisclosed,500000.0
Sattviko,Food,New Delhi,2018,Undisclosed,0.0
Sensibull,Trading Platform,Bangalore,2018,Undisclosed,300000.0
Bombay Shaving Company,Consumer Goods,New Delhi,2018,Undisclosed,0.0
MedCords,Fitness,Pune,2018,Undisclosed,316800.0
University Living,Education,New Delhi,2018,Undisclosed,0.0
&ME,Food,Bangalore,2018,Undisclosed,0.0
Enakshi,Fashion,Ahmedabad,2018,Undisclosed,96000.0
Ultraviolette Automotive,Automobile,Bangalore,2018,Undisclosed,720.0
Inthree Access,Consulting,Chennai,2018,Undisclosed,4000000.0
BUGWORKS Research India,Biotechnology,Bangalore,2018,Undisclosed,9000000.0
Guardian.in,Health,Mumbai,2018,Undisclosed,0.0
PrestLoans,Finance,New Delhi,2018,Undisclosed,100000.0
Wimoxez,Information Technology,Hyderabad,2018,Undisclosed,20000.0
India Accelerator,Consultancy,Gurugram,2018,Undisclosed,0.0
HappyEMI,Finance,Bangalore,2018,Undisclosed,1000000.0
Wishup,Apps,Azadpur,2018,Undisclosed,0.0
Hansel.io,Mobile,Bangalore,2018,Undisclosed,4000000.0
Propelld,Education,Bangalore,2018,Undisclosed,250000.0
PivotRoots,Advertising,Mumbai,2018,Undisclosed,0.0
ZiffyHomes,B2B,New Delhi,2018,Undisclosed,120000.0
Carmesi,Health,Gurugram,2018,Undisclosed,408000.0
OckyPocky,EdTech,Haryana,2018,Undisclosed,0.0
